pl_discmethod,Period[days],Mass[Jupiter Mass]
Radial Velocity,1634.0,14.2
Radial Velocity,1270.0,3.6
Radial Velocity,13.481,12.4
Radial Velocity,2754.0,1.54
Radial Velocity,3.414884,0.2845
Radial Velocity,2166.0,2.11
Transit,11.8143,0.11
Radial Velocity,256.78,8.35
Radial Velocity,49.77,0.057
Radial Velocity,1179.0,1.11
Radial Velocity,325.803,3.76
Radial Velocity,11611.2975,3.67
Radial Velocity,10354.8375,16.88
Radial Velocity,143.58,0.37
Radial Velocity,30.052,0.7
Radial Velocity,192.9,1.82
Radial Velocity,1576.0,1.26
Radial Velocity,464.4,1.26
Radial Velocity,1785.0,3.45
Radial Velocity,482.0,10.63
Radial Velocity,55.087,0.13353
Radial Velocity,4375.0,3.74
Radial Velocity,362.5,1.27
Radial Velocity,647.29999,20.96
Radial Velocity,498.04,0.717
Radial Velocity,9.4909,0.02795
Radial Velocity,433.8,1.964
Radial Velocity,6022.9725,6.79
Radial Velocity,968.8,2.33
Radial Velocity,439.29999,0.44
Radial Velocity,17.0431,0.07
Radial Velocity,841.0,1.23
Radial Velocity,1278.0,5.69
Radial Velocity,184.2,8.2
Radial Velocity,55.199,0.04059
Radial Velocity,144.3,1.98
Radial Velocity,499.48,1.56
Radial Velocity,232.08,2.68
Transit,9.1205,0.04
Radial Velocity,57.435,0.36
Radial Velocity,6.673892,3.9
Radial Velocity,147.747,1.31
Radial Velocity,981.8,0.59
Radial Velocity,41.516,0.03996
Radial Velocity,60.722,0.02549
Radial Velocity,3477.768,0.15228
Radial Velocity,34.15,0.04531
Radial Velocity,17.818,0.07205
Radial Velocity,345.72,1.42
Radial Velocity,9017.76,15.04
Radial Velocity,7.76,0.02712
Radial Velocity,15.144,0.03914
Radial Velocity,8.1352,0.02
Radial Velocity,32.03,0.40902
Radial Velocity,431.7,0.5267
Radial Velocity,124.6,9.18
Transit,0.9809734,3.213
Radial Velocity,28.125,0.428
Radial Velocity,67.3,0.784
Radial Velocity,1084.5,6.0
Radial Velocity,2556.5,11.1
Radial Velocity,88.9,1.38
Radial Velocity,2131.8,5.98
Radial Velocity,17337.5,9.0
Radial Velocity,87.19,0.05915
Radial Velocity,822.3,2.4
Radial Velocity,111.7,2.1
Radial Velocity,1560.2,5.5
Radial Velocity,5.0505,1.09
Radial Velocity,1058.8,20.0
Radial Velocity,27000.0,3.23
Radial Velocity,302.79999,2.27
Imaging,170000.0,7.0
Imaging,69000.0,10.0
Imaging,37000.0,10.0
Eclipse Timing Variations,2390.0,5.9
Eclipse Timing Variations,4368.0,4.5
Eclipse Timing Variations,4640.0,14.48228
Radial Velocity,734.0,6.3
Transit,19.3044,0.08495
Transit,5.3518,0.01664
Radial Velocity,15.6785,0.03555
Transit,9.1751,0.49
Transit,0.179715,0.5
Transit,0.2803244,0.01598
Transit,7.7485,0.02328
Transit,2.6446,0.01816
Transit,4.00498,0.02358
Transit,32.939623,0.02807
Radial Velocity,8.962,0.02363
Transit,2.1748,0.02517
Transit,0.381078,1.4
Transit,11.168454,0.398
Transit,2.1805577,1.236
Transit,3.20466,0.86
Transit,20.88977,0.05978
Transit,42.3391,0.04845
Transit,2.6266657,1.42
Transit,11.63344,0.223
Transit,50.818947,0.04657
Transit,2.369172,0.02058
Transit,0.658524,0.03545
Transit,7.814,0.00091
Transit,14.697,0.028
Transit,19.482,0.04499
Transit,6.771315,0.09722
Transit,3.471745,0.03046
Transit,7.138048,0.04933
Transit,10.45582,0.02045
Transit,14.76289,0.03367
Transit,14.893291,0.315
Transit,3.2588321,0.73
Transit,9.21165,0.0343
Transit,48.36685,0.774
Transit,2.225177,0.02042
Transit,16.9841,0.07709
Transit,4.024867,0.335
Transit,10.054626,0.02039
Transit,24.646582,0.00673
Transit,44.55646,0.00881
Transit,4.098503,0.579
Transit,1.25785,1.774
Transit,12.4551225,0.26
Transit,5.424865,3.7
Transit,1.422614,0.01227
Transit,5.340888,0.02454
Transit,4.01593,0.06
Transit,10.56103,0.03115
Transit,4.60543,0.09
Transit,3.00265,0.426
Transit,5.06963,0.06702
Transit,8.199796,1.9
Transit,1.217514,27.23
Transit,4.1662739,0.679
Transit,4.7361,0.171
Transit,5.031623,0.95
Transit,1.7100566,1.284
Transit,3.32944,1.31
Transit,0.9689951,2.75
Transit,3.0801716,1.31
Transit,2.8717518,1.18
Transit,4.6117093,4.07
Transit,4.11379,1.7
Transit,3.4741085,3.382
Transit,3.6127647,3.91
Transit,2.255251,0.938
Transit,5.5514926,5.18
Transit,2.70339,1.94
Transit,2.9895932,0.902
Transit,7.8457,0.52
Radial Velocity,1276.0,3.71
Transit,2.73477,1.39
Transit,3.24406,0.66
Transit,1.4811235,2.88
Eclipse Timing Variations,237.68977,7.693
Pulsation Timing Variations,840.0,11.8
Transit,17.855182,1.1
Transit,86.647661,1.45
Transit,1.763588,9.28
Transit,10.91647,0.03
Transit,22.26492,0.674
Transit,20.4415,0.01447
Transit,13.6088,0.02832
Transit,134.4628,0.22339
Transit,284.215,0.0472
Transit,141.241671,1.93
Orbital Brightness Modulation,0.240104,0.0014
Orbital Brightness Modulation,0.342887,0.0021
Transit,3.743208,0.033
Transit,10.423648,0.049
Transit,22.342989,0.334
Transit,54.32031,0.11
Transit,1.706291,1.09
Radial Velocity,121.54,0.022
Transit,0.837491,0.0145
Transit,45.2946,0.02319
Transit,6.88705,0.023
Transit,12.8159,0.02218
Transit,35.3331,0.00944
Transit,3.4876812,0.16
Transit,6.02976,0.01
Transit,5.28696,0.01353
Transit,7.07142,0.00944
Transit,10.3117,0.012
Transit,16.1457,0.028
Transit,27.4536,0.01636
Transit,15.9654,0.031
Transit,179.612,0.114
Transit,7.1262,0.01447
Transit,6.16486,0.01668
Transit,13.5708,0.033
Transit,23.9802,0.02549
Transit,43.8445,0.035
Transit,3.1800218,0.01104
Transit,4.901452,0.02954
Transit,7.95839,0.01196
Transit,14.749143,0.02706
Transit,6.48163,0.02297
Transit,21.2227,0.06859
Transit,10.3039,0.006
Transit,13.0241,0.009
Transit,22.6845,0.023
Transit,31.9996,0.025
Transit,46.6888,0.006
Transit,118.3807,0.079
Transit,4.754,0.037
Transit,8.92507,0.02737
Transit,8.041,0.009
Transit,11.776,0.012
Transit,18.7959228,0.094
Transit,50.790391,1.84
Transit,4.4379629,0.432
Transit Timing Variations,56.268,0.113
Transit,15.09,0.00242
Transit,22.804,0.00283
Transit,16.092,0.051
Transit,25.5169,0.026
Transit,10.3126,0.00021
Transit,13.7813,0.0062
Transit,23.0881,0.00201
Transit,6.790123,8.4
Transit,22.951,0.117
Transit,42.882,0.25
Transit,4.942782,0.66
Transit,217.83184,5.28
Transit,228.776,0.333
Transit Timing Variations,30.0,0.31463
Transit,1107.5923,1.51968
Transit,1047.8356,0.5
Transit,11.8728787,0.01573
Transit,31.578659,0.15291
Transit,3.84937278,5.88
Transit,175.06,0.05349
Transit,1.4857108,2.45
Transit,35.8601,0.01837
Transit,49.40926,0.04625
Transit,3.504725,0.022
Transit,7.64159,0.054
Transit,14.85888,0.052
Transit,9.28716,0.02643
Transit Timing Variations,28.731,0.04122
Radial Velocity,62.95,0.07079
Transit,3.69611525,0.03052
Transit,10.85409089,0.04012
Transit,77.61130017,0.03168
Radial Velocity,34.94,0.0628
Transit,2.78578,0.01598
Transit,289.8623,0.113
Transit,7.38449,0.02328
Transit,9.84564,0.01605
Transit,14.78869,0.02517
Transit,19.72567,0.0151
Transit,7.1073,0.8
Transit,10.7421,2.7
Transit,23.654,0.534
Transit,50.447,0.042
Transit,8.1453,1.6
Transit,12.3335,1.6
Transit,6.238297,0.0275
Transit,12.7207,0.0479
Radial Velocity,122.4,0.226
Transit,12.28,0.01611
Transit,17.2559,0.01951
Transit,15.3348,9.11
Transit,31.3309,13.8
Transit,31.884,0.052
Transit,48.648,0.051
Transit,17.324,0.275
Transit,33.006,0.202
Transit,35.736,0.155
Transit,54.414,0.118
Transit,5.9123,1.51
Transit,8.9858,1.36
Transit,24.806,0.192
Transit,44.347,0.177
Transit,34.545,0.023
Transit,125.8518,0.42
Transit,66.0634,0.013
Transit,10.33974,0.01573
Transit,13.28613,0.01416
Transit,29.33434,0.036
Transit,60.323105,2.01
Transit,143.34394,0.073
Transit,5.487,0.033
Transit,8.291,0.019
Transit,10.4208,0.02341
Transit,13.0729,0.01145
Transit,42.6318,4.7
Transit,87.6451,6.8
Transit,5.90124,4.1
Transit,8.7522,0.5
Transit,34.921,0.09
Transit,71.312,0.124
Transit Timing Variations,9.341,0.027
Transit,288.822,0.22
Transit,131.458,0.127
Transit,17.849,0.019
Transit,26.136,0.047
Transit,13.86825,0.01205
Transit,16.21865,0.02243
Transit,13.36731,0.01
Transit,21.302,0.03776
Transit,39.7922,0.03839
Transit,105.599,0.384
Transit,21.08721,20.1
Transit,42.994,0.238
Transit,88.505,0.056
Transit,3.21346,0.077
Transit,6.87349,2.2
Transit,2.42629,0.02
Transit,4.62332,0.009
Transit,0.66931,0.01007
Radial Velocity,3000.0,12.6
Transit,2.46502,0.01573
Transit,68.9584,0.06922
Transit,1.8555582,0.56
Transit,3.005156,0.08055
Transit,7.834435,0.08306
Transit,58.02035,0.04782
Transit Timing Variations,31.509728,0.03398
Transit,1.7208604,0.941
Transit,66.262,0.211
Transit Timing Variations,4.7,0.011
Transit Timing Variations,7.171,0.094
Transit Timing Variations,4.176,0.377
Transit Timing Variations,6.319,0.183
Transit Timing Variations,12.331,0.035
Transit,86.67856,1.1
Transit,69.7546,2.5
Transit Timing Variations,675.47,7.3
Transit,7.8914483,0.43
Transit,2.6843285,0.595
Transit,3.3118644,1.03
Radial Velocity,223.3,6.97
Transit,3.79701816,0.25
Transit,3.21751883,0.34
Transit,10.290994,0.29
Transit,3.52563254,1.27
Transit,3.0240949,3.23
Transit,52.501129,5.41
Radial Velocity,406.2,2.43
Transit,5.33408384,2.82
Transit,12.8747099,2.86
Transit,8.6001536,0.84
Transit,3.2467293,1.0
Transit,7.79430132,1.37
Transit Timing Variations,2500.0,22.0
Transit,2.455239,0.505
Transit,240.503,0.05034
Transit,10.57,0.01905
Radial Velocity,523.9,4.46
Transit,33.60134,6.0
Transit Timing Variations,57.011,0.376
Transit,84.6866,0.16959
Transit,207.62,0.01888
Transit,49.4643,0.00651
Transit,303.227,0.00997
Transit,187.366,0.05984
Transit,4.778,0.0124
Transit,9.67395,0.04597
Transit,42.8961,0.025
Radial Velocity,982.0,2.067
Transit,7.2037945,0.98
Transit,10.9129343,0.72
Transit,3.5484657,2.111
Transit,45.154,0.007
Transit,85.312,0.013
Transit,130.194,0.024
Transit,7.8773565,8.7
Transit,16.3850021,10.41
Transit,18.6489525,18.41
Transit,38.5583038,15.74
Transit,81.73778,0.03335
Transit,125.63243,0.97
Transit Timing Variations,1000.0,2.4
Transit,8.0109434,0.92
Transit,12.0717249,0.37
Transit,27.9481449,1.49
Transit,42.1516418,1.11
Transit,10.5016,0.07
Transit,21.40239,0.57
Radial Velocity,1002.0,5.61
Transit,5.7293196,18.86
Transit,11.6092567,6.95
Transit,10.2184954,1.39
Transit,15.5741568,2.19
Transit,11.8681707,2.05
Transit,17.9801235,1.37
Transit,25.3029092,0.05475
Transit,12.38602,0.01038
Transit,3.2346996,0.668
Transit,7.1334,0.01318
Transit,8.9187,0.01211
Transit,11.8981,0.01309
Transit,5.714932,0.03
Transit,12.4417,0.013
Transit,18.16406,0.044
Transit,122.3874,0.113
Transit,267.291,0.11
Transit,9.4341505,0.378
Radial Velocity,258.8,0.82
Transit,5.3988,0.02407
Transit,9.6051,0.00642
Radial Velocity,634.6,0.77
Transit,4.8854892,0.441
Transit,7.340711,0.63
Transit,8.8849116,10.1
Orbital Brightness Modulation,1.5449298,2.01
Transit,3.57878087,0.43
Transit,0.35500744,0.00619
Transit,13.4845,0.0343
Transit,27.4029,0.019
Transit,52.0902,0.019
Transit,81.0659,0.013
Transit,3.5224991,0.59
Transit,7.05246,0.0218
Transit,9.52355,0.02121
Transit,3.07222,0.02124
Transit,4.64489,0.01299
Transit,26.44,0.03823
Transit,51.54,0.04373
Transit Timing Variations,75.732,0.06576
Transit,114.73635,1.02
Transit,191.2318,0.02
Radial Velocity,1403.0,3.05046
Transit,19.23891,0.13655
Transit,38.9853,0.09408
Transit,6.24658,0.81
Transit,13.749,0.202
Transit,26.723,0.019
Transit,4.72674,0.0143
Radial Velocity,1460.0,3.0
Transit,2.50806,0.034
Radial Velocity,820.3,9.836
Transit,11.5231,0.041
Transit,16.2385,0.027
Transit,2.58664,0.011
Radial Velocity,789.0,1.08
Transit,1.54168,0.011
Transit,4.60358,0.019
Transit,1.4015,0.01447
Transit,2.2531,0.00318
Transit,3.6904,0.00761
Transit,7.4512,0.00727
Transit,24.736959,0.02196
Transit,3.777931,0.00569
Transit,3.81433,0.02737
Transit,4.052037,0.09691
Radial Velocity,14.4399,0.04185
Transit,5.35882,0.00692
Transit,0.768448,0.00824
Transit,12.2519,0.02706
Transit,0.792052,0.09225
Transit,3.91405,0.81
Transit,2.14878,3.7
Transit,2.82406,3.1
Microlensing,2774.0,0.033
Microlensing,1982.0,2.6
Eclipse Timing Variations,760.0,23.7
Radial Velocity,121.71,6.69
Radial Velocity,511.21,2.18
Radial Velocity,6.959,0.32
Radial Velocity,5.118,0.4
Radial Velocity,4.087,0.46
Transit,2.647298,0.812
Transit,0.7668944,2.162
Transit,35.45533,0.344
Transit,7.532806,0.208
Transit,4.511164,0.74
Transit,1.6753728,2.38
Transit,1.3373508,0.06481
Transit,3.3569866,0.229
Transit,0.882059,1.339
Transit,2.4997,0.93
Transit,4.43527,2.9
Eclipse Timing Variations,5573.55,7.33
Eclipse Timing Variations,2883.5,2.3
Eclipse Timing Variations,3225.0,14.15
Eclipse Timing Variations,3160.0,2.66
Eclipse Timing Variations,8799.0,5.54
Microlensing,3285.0,0.017
Microlensing,1788.5,0.73
Microlensing,4927.5,0.27
Microlensing,2557.0,0.25171
Microlensing,1224.0,13.38
Microlensing,5480.0,4.8
Transit,3.101278,0.62
Transit,1.4324752,1.26
Transit,1.689868,1.18
Transit,3.9791,1.01
Transit,3.67724,1.03
Transit,1.2119189,1.39
Transit,2.4855335,4.5
Imaging,7300000.0,14.0
Transit,138.317,0.531
Transit,3.1606296,2.31
Pulsar Timing,10140.0,0.0062
Pulsar Timing,25.262,6e-05
Pulsar Timing,66.5419,0.01353
Pulsar Timing,98.2114,0.01227
Pulsar Timing,0.09070629,1.2
Pulsar Timing,0.322964,0.7949
Radial Velocity,4.4264,0.54
Radial Velocity,2.1461,1.88
Radial Velocity,4850.0,7.79
Radial Velocity,11.186,0.004
Transit,1.4200242,1.294
Transit,1.645321,0.736
Transit,1.33711647,2.494
Transit,2.5079204,4.31
Transit,1.8053564,6.1
Transit,2.8792319,4.32
Transit,3.506195,0.668
Transit,2.032046,1.88
Transit,3.71495,0.371
Transit,1.540731,1.19
Eclipse Timing Variations,4343.5,4.2
Radial Velocity,9.8658,0.0044
Transit,1.796,9.7
Transit,4.2,3.8
Radial Velocity,10.79,1.66
Transit,15.168865,1.942
Transit,8.350381,0.974
Transit,3.444729,0.02174
Transit,4.65382,0.02989
Transit,9.15059,0.02086
Transit,19.98,0.04279
Transit,10.894843,0.04248
Transit,18.80151,0.00692
Transit,2.1097019,0.07048
Transit,95.174,0.10383
Transit,5.857487,2.51
Transit,2.0845435,1.18
Transit,4.231306,1.22
Transit,2.2554477,0.791
Transit,9.47725,5.42
Transit,3.49151,0.08426
Transit,29.02,0.66
Transit,34.556,0.62927
Transit,17.089,0.09439
Transit,4.93777,1.0
Transit,5.19672,0.02256
Transit,16.06819,0.05166
Transit,10.33111,1.53
Transit,0.446578,0.005
Transit,10.779,0.01699
Transit,25.62,0.0376
Transit,77.23,0.05034
Transit,16.287,0.00944
Transit,1.651144,1.463
Transit,11.2366,1.236
Transit,5.6057,0.0308
Transit,12.2737,0.02932
Transit,8.24661,0.01259
Transit,15.6653,0.01668
Transit,1.392978,0.0581
Transit,8.3248762,1.2
Transit,0.76552414,0.12299
Transit,10.62656,0.95
Transit,3.739494,0.667
Transit,4.32419,2.6
Transit,10.15643,2.5
Transit,3.6849729,0.174
Transit,1.51087081,0.00267
Transit,2.4218233,0.00434
Transit,4.04961,0.00129
Transit,6.099615,0.00195
Transit,9.20669,0.00214
Transit,12.35294,0.00422
Radial Velocity,198.4,2.5
Radial Velocity,559.3,10.0
Radial Velocity,562.0,3.42
Radial Velocity,26.468,5.4
Radial Velocity,101.54,10.78
Radial Velocity,4.91,0.0033
Radial Velocity,11.409,0.00349
Transit,3.03007,0.84
Transit,2.47063,1.49
Transit,1.30618581,1.91
Transit,3.55395,0.78
Transit,1.48224686,1.79
Eclipse Timing Variations,5840.0,6.3
Eclipse Timing Variations,1916.25,7.7
Pulsation Timing Variations,1170.0,3.2
Radial Velocity,4.927,0.7
Transit,2.5199454,0.854
Transit,3.0927616,3.15
Transit,2.84938,1.26
Transit,3.58572,0.51
Transit,0.925542,1.49
Transit,1.7554137,1.272
Transit,7.87288,1.8
Transit,9.28971,1.62
Transit,5.7214742,0.096
Radial Velocity,1088.0,0.36
Transit,3.72247,0.79
Transit,4.54216875,0.475
Transit,1.5487743,1.769
Transit,10.02165,0.3
Transit,4.0460435,0.514
Transit,2.49979,1.23
Transit,1.09142,1.465
Transit,3.6112706,4.85
Transit,1.2749255,1.183
Transit,2.9776412,0.899
Transit,3.37265,0.6
Transit,3.28883,0.28411
Transit Timing Variations,7.63,0.20199
Transit,4.17806203,0.1647
Transit,5.748145,1.0
Transit,4.35301,0.36
Transit,11.55098,1.23
Transit,5.322023,0.27
Transit,7.133521,0.41
Transit,2.176423,1.16
Transit,1.4013794,1.9
Transit,5.215357,1.51
Transit,3.634433,1.22
Transit,5.924262,0.117
Transit,2.24375,8.84
Transit,2.2359835,2.44
Transit,3.310651,2.69
Transit,2.052868,0.84
Transit,2.2783152,0.44
Transit,1.7690381,0.89
Transit,4.60273,0.275
Transit,8.80381,0.291
Radial Velocity,34.516,0.4
Transit,3.7521,0.54
Transit,5.644207,8.46
Transit,4.533471,0.31
Transit,3.332609,0.39
Transit,3.836169,0.128
Transit,3.656333,2.79
Transit,3.840401,0.55
Transit,3.1186,1.24
Transit,3.7684952,0.278
Transit,5.4060425,2.49
Transit,9.62468,5.2
Transit,1.6096884,1.87
Transit,1.7771255,2.13
Transit,3.465509,0.658
Transit,5.44354,0.101
Transit,2.0219596,8.0
Transit,4.153658,0.42
Transit,5.6114118,0.561
Transit,3.73543,0.78
Transit,2.34478022,1.6
Transit,3.8186244,1.084
Transit,5.477433,0.47
Transit,1.38665318,3.69
Transit,4.2337,1.3
Transit,3.0652907,0.99
Transit,3.899052,0.855
Transit,3.071722,0.508
Transit,3.3448285,1.66
Transit,0.94124,10.42954
Transit Timing Variations,2.1558,0.17368
Transit,3.409264,0.9
Transit,4.5195064,0.299
Transit,3.3769848,0.148
Transit,4.1117771,0.502
Transit,5.1817,0.57
Transit,9.38755,0.98
Transit,5.026799,4.22
Transit,5.147878,0.8
Transit,0.78883899,1.069
Transit,5.367753,1.0
Transit,2.8786765,2.3
Transit,2.152175,0.931
Transit,4.8996284,0.311
Transit,4.322482,0.3
Transit,3.53269,0.67
Transit,2.9444256,0.884
Transit,2.34121,1.24
Transit,3.76483,0.44
Transit,2.7566,0.85
Transit,3.40883,0.907
Transit,3.92273,0.23
Transit,1.84683,2.43
Transit,3.4059096,0.478
Transit,2.71866,2.63
Transit,1.21987,2.093
Transit,4.31768,0.56
Transit,3.16158,0.71
Transit,1.53736596,2.361
Transit,3.577469,1.8
Transit,6.87188,3.44
Transit,4.055259,0.28
Transit,1.33823147,1.186
Transit,3.0524,0.85
Radial Velocity,421.0,3.18
Transit,4.9816819,0.527
Transit,0.813475,1.78
Transit,2.423804,0.87
Transit,3.126089,0.964
Transit,1.43036763,1.91
Transit,4.1591289,1.14243
Radial Velocity,588.5,1.25287
Transit,9.03077,0.04122
Transit,0.789592,0.02149
Transit,2.14363,0.8
Transit,2.78174,0.37
Transit,1.6284279,1.58
Transit,1.9551,1.4688
Transit,1.7497798,0.46
Transit,3.3098443,2.132
Radial Velocity,2840.0,16.35
Transit,3.69364,0.59
Transit,4.46563,0.61
Transit,4.6171,0.45
Transit,2.83891856,0.644
Transit,5.01718,0.97
Transit,7.919585,0.863
Transit,3.36101,0.37
Transit,4.305,0.55
Transit,3.8559,2.68
Transit,4.41195,0.52
Transit,4.37808,0.37
Transit,1.5732918,1.271
Transit,2.3114243,1.55
Transit,4.08605,2.35
Transit,4.61442,0.43
Transit,5.0843,1.08
Transit,3.86814,0.29
Transit,4.9546416,0.96
Transit,3.7130203,0.59
Transit,2.90367,1.39
Transit,2.21673,2.3
Transit,4.08722,2.86
Transit,2.13775,0.72
Transit,2.484193,1.07
Transit,1.809886,0.92
Transit,1.36003,2.29
Transit,2.17518,1.11
Transit,3.66238,0.85
Transit,8.15872,2.54
Radial Velocity,4323.0,9.45
Transit,3.06785234,0.538
Transit,2.7164762,0.729
Transit,2.70579,1.17
Transit,4.971252,0.3
Transit,8.5234865,0.694
Transit,2.6556777,1.265
Transit,1.682795,2.18
Transit,4.954,0.42
Transit,3.3564227,5.9
Transit,3.916243,0.63
Transit,2.798581,1.34
Transit,2.1746742,0.805
Transit,2.7325321,1.47
Transit,3.95019,0.5
Radial Velocity,2.00839,0.618
Transit,2.18467,1.44
Transit,3.4252602,0.48
Transit,2.07276,1.36
Transit,2.96264036,0.922
Transit,5.75251,2.43
Transit,1.4079405,13.8
Transit,3.352057,4.01
Transit,1.0187068,1.12
Transit,2.663416,0.592
Transit,1.7522239,0.731
Radial Velocity,4.8869,0.00601
Radial Velocity,17.8719,0.01073
Radial Velocity,217.21,0.02423
Transit,3.94153,0.83
Transit,2.61586178,0.566
Radial Velocity,18.157,0.26
Radial Velocity,120.8,1.37
Transit,3.19154,7.29
Transit,4.12508,1.42
Transit,4.1877558,1.19
Transit,3.7650007,4.4
Transit,2.8641424,0.709
Radial Velocity,1.96876,0.00236
Radial Velocity,3.06008,0.00308
Radial Velocity,4.65627,0.00359
Radial Velocity,380.8,1.8
Radial Velocity,628.96,6.47
Radial Velocity,605.2,7.8
Radial Velocity,1200.0,9.0
Radial Velocity,522.3,6.1
Radial Velocity,417.9,6.7
Radial Velocity,2690.0,0.78
Radial Velocity,16510.0,3.25
Radial Velocity,594.9,7.6
Radial Velocity,428.5,8.78
Radial Velocity,903.3,1.85
Radial Velocity,415.2,1.02
Radial Velocity,964.6,4.58
Radial Velocity,511.098,8.82
Radial Velocity,1285.0,1.811
Radial Velocity,357.8,2.4
Radial Velocity,530.21,22.206
Radial Velocity,3184.83,24.662
Radial Velocity,277.02,1.7
Radial Velocity,187.83,1.5
Radial Velocity,1630.0,4.1
Transit,6.2679,0.01517
Radial Velocity,3117.0,1.53
Radial Velocity,39.8458,1.0449
Radial Velocity,102.54,0.07866
Radial Velocity,3.3124568,4.32
Radial Velocity,162.87,0.01237
Radial Velocity,636.13,0.01237
Radial Velocity,20.0,0.00551
Radial Velocity,49.41,0.00576
Radial Velocity,305.5,20.6
Radial Velocity,4.617033,0.6876
Radial Velocity,241.258,1.981
Radial Velocity,1276.46,4.132
Radial Velocity,136.75,2.8
