pl_discmethod,Period[days],Mass[Jupiter Mass]
Radial Velocity,203.59000000,0.46300
Transit,3.93072000,0.00579
Radial Velocity,9.12470000,0.01070
Radial Velocity,55.66100000,0.01919
Radial Velocity,2.64561000,0.02600
Radial Velocity,3.02320000,0.02517
Radial Velocity,6.90500000,0.02246
Radial Velocity,2.64977000,0.00777
Radial Velocity,13.74000000,0.01970
Radial Velocity,12.95320000,0.00941
Radial Velocity,20.12900000,0.03483
Radial Velocity,13.35200000,0.05213
Radial Velocity,7.37050000,0.01901
Radial Velocity,5094.10500000,0.10201
Radial Velocity,36.05900000,0.01643
Radial Velocity,2.64388312,0.07000
Radial Velocity,9.56700000,0.04153
Imaging,,4.00000
Radial Velocity,8.70760000,0.01686
Radial Velocity,5.36860000,0.04970
Radial Velocity,12.91400000,0.01730
Radial Velocity,3.14900000,0.00530
Radial Velocity,14.62800000,0.00887
Radial Velocity,598.30000000,0.32800
Radial Velocity,7.20040000,0.01800
Radial Velocity,28.14000000,0.01200
Radial Velocity,62.24000000,0.00800
Radial Velocity,39.02600000,0.00800
Radial Velocity,256.20000000,0.01400
Radial Velocity,4.69380000,0.03500
Radial Velocity,1056.80005000,4.96000
Radial Velocity,7337.00000000,6.80000
Radial Velocity,3.60050000,0.01400
Radial Velocity,35.39000000,0.02500
Radial Velocity,17.47800000,0.01384
Radial Velocity,57.32000000,0.02737
Radial Velocity,24.16000000,0.02832
Radial Velocity,38.14200000,0.05412
Radial Velocity,727.56200000,0.05034
Radial Velocity,3657.00000000,0.68000
Radial Velocity,35.68000000,0.01700
Radial Velocity,1882.00000000,1.00000
Radial Velocity,15.76491000,4.42000
Radial Velocity,61.11660000,2.27560
Radial Velocity,30.08810000,0.71420
Radial Velocity,1.93778000,0.02100
Radial Velocity,124.26000000,0.04600
Radial Velocity,9.26200000,0.01321
Radial Velocity,21.78900000,0.02391
Radial Velocity,241.88300000,0.09722
Radial Velocity,767.88700000,0.22528
Radial Velocity,73.94000000,0.06186
Transit,1.20898190,0.01545
Transit,3.64809570,0.00264
Transit,6.20146980,0.01271
Imaging,,20.00000
Imaging,,16.00000
Imaging,,11.30000
Radial Velocity,3.82200000,0.04097
Radial Velocity,13.85080000,0.01771
Radial Velocity,15.53000000,0.02084
Transit,4.46529976,0.52500
Transit,4.88780244,0.07362
Radial Velocity,3407.00000000,1.59519
Transit,3.21305980,0.21100
Transit,2.91625000,0.85100
Radial Velocity,446.27000000,14.28000
Transit,4.62767000,3.44000
Transit,10.86350000,1.94000
Transit,2.77596000,4.19300
Transit,10.33852000,0.58000
Radial Velocity,5584.00000000,3.40000
Transit,5.50802300,0.19700
Transit,4.00877800,0.29200
Transit,5.63351580,8.62000
Transit,2.87531700,7.24600
Transit,4.12448000,4.87000
Transit,3.21222000,2.47000
Transit,1.21288000,1.34000
Transit,3.35524000,0.75000
Transit,3.65281514,0.56900
Transit,4.23452000,0.07000
Transit,3.03957700,0.62000
Transit,3.25721500,0.62600
Transit,5.72319000,0.88000
Transit,2.89970000,0.65000
Transit,2.81060000,0.83000
Transit,5.00542000,2.27000
Transit,2.15000820,0.68000
Transit,3.47447000,0.92000
Transit,5.45265400,3.33000
Transit,3.64670600,1.05600
Transit,1.32734683,1.84820
Transit,2.79743600,1.16900
Transit,4.64038200,0.26700
Transit,3.54387000,0.59900
Transit,3.05653600,0.67100
Transit,4.45724000,0.48000
Transit,2.69405000,1.19000
Transit,4.64187800,1.04400
Transit,3.33268700,0.66200
Transit,4.30121900,0.35200
Radial Velocity,872.20000000,4.00000
Transit,3.12899200,0.89200
Transit,4.46312900,0.49300
Transit,2.69155000,2.20000
Transit,2.78849000,0.98000
Transit,3.12201090,1.35000
Transit,4.21802780,0.30900
Transit,2.75359530,0.81800
Transit,1.96162410,1.48400
Transit,3.79984700,0.76000
Transit,3.58524670,0.58200
Transit,2.79083000,2.31000
Transit,2.46530000,1.41000
Transit,3.85298000,1.32000
Transit,2.60545520,0.52700
Transit,2.97208600,0.78300
Transit,4.81010250,0.34000
Transit,2.29840551,0.72400
Transit,4.78694910,3.58000
Transit,2.20474000,1.84000
Transit,2.74432452,6.78000
Transit,3.07634000,1.28000
Transit,3.92281072,0.74900
Transit,3.44645900,1.85500
Transit,3.31284600,0.52600
Transit,3.61918800,
Transit,3.14270200,
Transit,3.04404990,0.54300
Transit,2.76676410,1.07100
Transit,1.74748753,2.17000
Transit,2.68650200,3.27000
Transit,16.25461100,1.33800
Transit,0.83784000,1.97950
Transit,1.35413300,1.34500
Transit,4.72281240,2.74000
Transit,2.16051560,1.47000
Transit,1.34849780,2.26000
Transit,4.29864320,0.61300
Transit,3.30238810,0.65000
Transit,4.63703800,0.53000
Transit,3.18107810,0.67200
Transit,4.60587490,0.65300
Transit,3.54785100,1.07100
Transit,3.17435160,0.70600
Transit,3.37796000,0.88000
Transit,2.81265480,0.92000
Transit,2.54955510,1.19200
Transit,2.10616070,0.94100
Transit,1.82099930,1.22200
Transit,4.17518600,
Transit,4.33153660,0.09900
Transit,4.37502100,0.07400
Transit,4.57763480,0.63000
Transit,2.51672900,1.32300
Transit,3.26427360,1.59000
Transit,4.19364900,9.70000
Transit,2.29210200,1.88000
Transit,4.38884970,0.26100
Transit,2.74390040,0.56000
Transit,4.18762440,0.70000
Transit,4.74237290,0.17300
Transit,3.92280380,0.36900
Transit,3.13166660,0.24300
Transit,4.14804670,0.35300
Transit,4.76338700,0.23700
Transit,3.82970150,0.39000
Transit,3.34887020,0.76800
Transit,1.36665436,2.24000
Transit,3.85377680,0.59500
Transit,2.54418280,0.76000
Transit,4.20420010,0.92100
Transit,4.32479900,0.60200
Transit,2.35062100,3.14700
Transit,4.21808960,1.03000
Transit,5.41608100,0.80600
Radial Velocity,1422.00000000,12.70000
Transit,3.32527250,0.31900
Transit,3.56082900,0.66200
Transit,7.81795300,3.40000
Transit,3.27688370,0.17900
Transit,3.05665270,0.96000
Transit,4.90889700,0.96000
Transit,3.10516100,0.82100
Transit,3.14143910,5.33000
Transit,1.60917880,1.45000
Transit,3.58622020,1.29000
Transit,2.22525770,0.57700
Transit,3.18531500,0.12000
Transit,1.88823780,12.90000
Transit,3.79552020,0.37000
Transit,7.32794740,0.12540
Transit,3.58389300,0.13800
Transit,1.91529100,
Imaging,,
Radial Velocity,157.57001000,1.61000
Radial Velocity,383.70001000,1.03000
Radial Velocity,5.75969000,0.04160
Radial Velocity,16.35700000,0.03780
Radial Velocity,49.74800000,0.08050
Radial Velocity,122.74400000,0.07220
Radial Velocity,604.67000000,0.07320
Radial Velocity,2205.00000000,0.20660
Radial Velocity,70.46000000,0.25000
Radial Velocity,20.81330000,0.17000
Radial Velocity,4.11377000,0.41000
Radial Velocity,127.58000000,4.94000
Radial Velocity,778.09998000,8.16000
Radial Velocity,1123.00000000,1.52000
Radial Velocity,122.10000000,0.05000
Radial Velocity,3090.94200000,0.35837
Radial Velocity,6.49470000,0.96000
Radial Velocity,47.84000000,0.09000
Radial Velocity,4.55570000,0.62000
Radial Velocity,5.88810000,0.36700
Radial Velocity,120.87800000,0.03524
Radial Velocity,55.80600000,0.16000
Radial Velocity,1032.30000000,1.48700
Radial Velocity,199.50500000,8.30000
Radial Velocity,1531.00000000,6.93000
Radial Velocity,1888.00000000,10.13000
Transit,9.55237000,0.03964
Transit,21.05704000,0.04782
Radial Velocity,989.20000000,0.94000
Radial Velocity,3630.00000000,9.61000
Imaging,,11.00000
Radial Velocity,1075.69000000,6.38300
Radial Velocity,48.05600000,0.21000
Radial Velocity,10.89850000,0.26100
Transit,3.79596300,
Transit,6.20344900,
Transit,14.17568500,
Transit,19.59002500,
Transit,29.54115000,
Radial Velocity,1129.00000000,3.50000
Radial Velocity,437.70000000,2.41400
Radial Velocity,394.48123000,1.42000
Radial Velocity,1624.00000000,0.99000
Radial Velocity,68.27000000,0.86000
Radial Velocity,7.85430000,0.05400
Radial Velocity,30.93000000,0.07600
Radial Velocity,5.23989100,0.27000
Radial Velocity,835.47700000,11.09000
Radial Velocity,1143.00000000,7.14000
Radial Velocity,1056.40000000,4.40000
Radial Velocity,825.90000000,4.51000
Radial Velocity,324.00000000,2.83000
Radial Velocity,663.20000000,0.36000
Radial Velocity,1818.00000000,0.93000
Radial Velocity,610.20000000,6.30000
Radial Velocity,937.70001000,1.14000
Radial Velocity,4000.00000000,0.35700
Radial Velocity,1121.79000000,0.82500
Radial Velocity,83.91510000,10.69000
Radial Velocity,493.70000000,1.10000
Radial Velocity,4319.00000000,0.61100
Radial Velocity,1622.10000000,4.83000
Radial Velocity,223.41000000,0.40800
Radial Velocity,670.00000000,1.40000
Radial Velocity,907.00000000,1.27000
Radial Velocity,2621.75000000,1.92600
Radial Velocity,433.70001000,5.63000
Radial Velocity,25.80000000,0.17400
Radial Velocity,6.13350000,2.79000
Radial Velocity,1945.00000000,0.62200
Radial Velocity,37.91000000,0.07880
Radial Velocity,711.00000000,6.54000
Radial Velocity,2082.00000000,4.50000
Radial Velocity,63.33000000,1.51000
Radial Velocity,58.83000000,2.98000
Radial Velocity,1756.20000000,22.16000
Radial Velocity,9.67370000,0.02000
Radial Velocity,557.04000000,3.10000
Radial Velocity,4.15514000,0.05500
Radial Velocity,2835.00000000,7.28000
Radial Velocity,133.60001000,1.96000
Radial Velocity,960.41000000,0.23700
Radial Velocity,262.70862000,2.43000
Radial Velocity,1708.00000000,1.81200
Radial Velocity,1244.00000000,0.41000
Radial Velocity,453.01900000,1.76900
Radial Velocity,921.53800000,3.78900
Radial Velocity,298.20000000,0.89000
Radial Velocity,1840.00000000,1.60000
Radial Velocity,10.70871000,1.15000
Radial Velocity,896.00000000,1.80000
Radial Velocity,1951.00000000,19.12000
Radial Velocity,2613.00000000,3.31000
Radial Velocity,471.60001000,10.95000
Radial Velocity,974.00000000,5.38000
Radial Velocity,1544.00000000,1.49000
Radial Velocity,649.00000000,1.42000
Radial Velocity,3568.00000000,0.42000
Radial Velocity,5769.00000000,2.50000
Radial Velocity,3.26960000,0.03180
Radial Velocity,1291.56460000,0.09220
Radial Velocity,258.17999000,1.61000
Radial Velocity,5000.00000000,0.82000
Radial Velocity,11.57779000,0.01454
Radial Velocity,27.59090000,0.03552
Radial Velocity,107.63000000,0.03304
Radial Velocity,464.29999000,2.14000
Radial Velocity,14763.40500000,26.77000
Radial Velocity,330.00000000,0.20000
Radial Velocity,19.38200000,0.86500
Radial Velocity,931.00000000,5.13000
Radial Velocity,4218.00000000,2.20000
Radial Velocity,1125.70000000,9.76000
Transit,11.53533000,0.41500
Radial Velocity,1455.00000000,7.80000
Radial Velocity,94.44000000,0.45100
Radial Velocity,201.99000000,1.33000
Radial Velocity,1069.80000000,1.18000
Radial Velocity,5000.00000000,0.66000
Radial Velocity,653.21997000,9.69000
Radial Velocity,349.70000000,1.25000
Radial Velocity,6005.00000000,5.30000
Radial Velocity,1928.00000000,4.44000
Radial Velocity,1299.00000000,3.07000
Radial Velocity,386.29999000,1.67000
Radial Velocity,2.19740000,1.21000
Radial Velocity,1039.15000000,3.53200
Radial Velocity,103.95000000,6.02000
Radial Velocity,176.30000000,2.23000
Radial Velocity,2730.00000000,2.28000
Radial Velocity,5.77152000,0.02026
Radial Velocity,13.50520000,0.01759
Radial Velocity,44.23600000,2.12000
Radial Velocity,1008.00000000,6.56000
Radial Velocity,86.78000000,0.08983
Radial Velocity,528.40000000,1.21000
Radial Velocity,676.60000000,1.12100
Radial Velocity,116.59600000,5.14000
Radial Velocity,491.54000000,2.30000
Radial Velocity,1027.00000000,0.85000
Radial Velocity,328.55000000,1.23000
Radial Velocity,5062.00000000,5.16000
Radial Velocity,339.33100000,33.70000
Radial Velocity,331.50000000,1.30000
Radial Velocity,2.87589000,0.38000
Radial Velocity,4.07182000,1.33000
Radial Velocity,428.50000000,2.75000
Radial Velocity,5894.00000000,2.71000
Radial Velocity,2918.92000000,2.66100
Radial Velocity,686.50000000,1.86900
Transit,4.75615000,0.02363
Transit,17.17840000,0.02552
Radial Velocity,499.39999000,2.95000
Radial Velocity,3341.55884000,0.82000
Radial Velocity,163.94000000,5.37000
Radial Velocity,408.60001000,2.45000
Radial Velocity,3452.00000000,2.58000
Radial Velocity,818.80000000,2.60000
Radial Velocity,194.30000000,0.99000
Radial Velocity,391.90000000,0.82000
Radial Velocity,131.05000000,9.88000
Radial Velocity,4191.00000000,8.60000
Radial Velocity,842.20000000,0.74000
Radial Velocity,4.64550000,0.01300
Radial Velocity,359.51001000,10.67000
Radial Velocity,521.00000000,1.53000
Radial Velocity,2.17800000,0.00698
Radial Velocity,3.43200000,0.01762
Radial Velocity,5.19808140,0.01702
Radial Velocity,7.95100000,0.01913
Radial Velocity,12.02800000,0.01932
Radial Velocity,820.20000000,14.00000
Radial Velocity,12.62000000,1.13000
Radial Velocity,248.40000000,1.90000
Radial Velocity,1184.10000000,2.21800
Radial Velocity,351.00000000,0.76800
